DATE,H8B1029NCBCAG
1958-01-01,2.3
1959-01-01,13.2
1960-01-01,8.0
1961-01-01,4.2
1962-01-01,7.8
1963-01-01,10.8
1964-01-01,12.9
1965-01-01,12.4
1966-01-01,5.7
1967-01-01,6.0
1968-01-01,11.0
1969-01-01,8.2
1970-01-01,4.0
1971-01-01,10.5
1972-01-01,15.3
1973-01-01,14.6
1974-01-01,4.5
1975-01-01,1.3
1976-01-01,10.2
1977-01-01,17.6
1978-01-01,19.4
1979-01-01,11.8
1980-01-01,-2.6
1981-01-01,1.9
1982-01-01,2.7
1983-01-01,11.8
1984-01-01,18.4
1985-01-01,16.9
1986-01-01,7.2
1987-01-01,3.2
1988-01-01,7.6
1989-01-01,5.0
1990-01-01,0.6
1991-01-01,-1.6
1992-01-01,1.4
1993-01-01,10.7
1994-01-01,16.2
1995-01-01,9.9
1996-01-01,15.4
1997-01-01,4.5
1998-01-01,6.8
1999-01-01,4.7
2000-01-01,5.1
2001-01-01,6.5
2002-01-01,5.8
2003-01-01,5.4
2004-01-01,3.3
2005-01-01,2.7
2006-01-01,4.9
2007-01-01,5.4
2008-01-01,5.1
2009-01-01,-3.4
2010-01-01,-8.5
2011-01-01,-1.6
2012-01-01,0.7
2013-01-01,2.7
2014-01-01,4.6
2015-01-01,5.6
2016-01-01,7.0
2017-01-01,4.2
2018-01-01,4.1
2019-01-01,5.1
2020-01-01,-4.3
2021-01-01,7.6
2022-01-01,11.5
2023-01-01,4.6
