DATE,Deposits_Billions
03/01/1973,613.674
10/01/1973,596.582
17/01/1973,597.567
24/01/1973,589.744
31/01/1973,596.4237
07/02/1973,589.6323
14/02/1973,598.0715
21/02/1973,602.8889
28/02/1973,605.0901
07/03/1973,601.0552
14/03/1973,603.565
21/03/1973,600.7131
28/03/1973,602.827
04/04/1973,611.8441
11/04/1973,609.5075
18/04/1973,613.5123
25/04/1973,610.2352
02/05/1973,618.5577
09/05/1973,609.6577
16/05/1973,618.2803
23/05/1973,609.5717
30/05/1973,618.2061
06/06/1973,618.4702
13/06/1973,620.4688
20/06/1973,624.7969
27/06/1973,621.1174
04/07/1973,639.5762
11/07/1973,628.18
18/07/1973,628.7554
25/07/1973,625.4915
01/08/1973,637.2462
08/08/1973,628.0646
15/08/1973,637.728
22/08/1973,625.7115
29/08/1973,624.4741
05/09/1973,640.1014
12/09/1973,639.8646
19/09/1973,636.7047
26/09/1973,635.6065
03/10/1973,643.4137
10/10/1973,648.4812
17/10/1973,643.5954
24/10/1973,647.9977
31/10/1973,652.1992
07/11/1973,656.2916
14/11/1973,651.3275
21/11/1973,643.6987
28/11/1973,644.5062
05/12/1973,651.7244
12/12/1973,658.2506
19/12/1973,663.031
26/12/1973,660.0372
02/01/1974,689.3648
09/01/1974,666.9471
16/01/1974,669.5766
23/01/1974,656.9467
30/01/1974,658.589
06/02/1974,659.8819
13/02/1974,666.9213
20/02/1974,667.8986
27/02/1974,658.7378
06/03/1974,665.6631
13/03/1974,663.6496
20/03/1974,666.6847
27/03/1974,667.5668
03/04/1974,680.3197
10/04/1974,682.5193
17/04/1974,691.3169
24/04/1974,676.3064
01/05/1974,691.1074
08/05/1974,681.7
15/05/1974,691.6687
22/05/1974,681.9791
29/05/1974,690.0212
05/06/1974,691.4011
12/06/1974,691.4014
19/06/1974,696.6982
26/06/1974,695.9736
03/07/1974,708.6569
10/07/1974,699.3452
17/07/1974,699.8275
24/07/1974,692.8034
31/07/1974,703.2174
07/08/1974,697.0845
14/08/1974,697.6658
21/08/1974,693.0215
28/08/1974,694.9699
04/09/1974,712.4026
11/09/1974,705.0534
18/09/1974,703.1354
25/09/1974,699.5223
02/10/1974,709.554
09/10/1974,703.0902
16/10/1974,723.9379
23/10/1974,704.4454
30/10/1974,707.4228
06/11/1974,718.9553
13/11/1974,717.9984
20/11/1974,708.864
27/11/1974,718.0412
04/12/1974,721.0786
11/12/1974,721.4542
18/12/1974,729.308
25/12/1974,730.1555
01/01/1975,753.5499
08/01/1975,728.5152
15/01/1975,727.211
22/01/1975,712.456
29/01/1975,706.2484
05/02/1975,717.1175
12/02/1975,711.6505
19/02/1975,720.1816
26/02/1975,708.6568
05/03/1975,724.7185
12/03/1975,722.347
19/03/1975,719.8013
26/03/1975,718.1165
02/04/1975,731.2359
09/04/1975,730.7828
16/04/1975,738.6779
23/04/1975,725.1053
30/04/1975,733.3154
07/05/1975,726.3097
14/05/1975,729.7402
21/05/1975,725.399
28/05/1975,733.7044
04/06/1975,741.4717
11/06/1975,741.5639
18/06/1975,746.4154
25/06/1975,735.68
02/07/1975,749.5789
09/07/1975,744.8001
16/07/1975,744.1027
23/07/1975,733.0216
30/07/1975,733.6645
06/08/1975,739.5192
13/08/1975,735.0904
20/08/1975,733.5203
27/08/1975,732.551
03/09/1975,750.4091
10/09/1975,742.693
17/09/1975,744.5503
24/09/1975,733.111
01/10/1975,751.802
08/10/1975,747.5067
15/10/1975,764.6091
22/10/1975,744.5445
29/10/1975,742.5657
05/11/1975,760.722
12/11/1975,765.5467
19/11/1975,745.6263
26/11/1975,756.8532
03/12/1975,759.3452
10/12/1975,756.9431
17/12/1975,766.5389
24/12/1975,763.1448
31/12/1975,789.0402
07/01/1976,772.5482
14/01/1976,765.5741
21/01/1976,758.456
28/01/1976,749.5301
04/02/1976,762.2192
11/02/1976,756.3592
18/02/1976,773.9918
25/02/1976,749.7338
03/03/1976,764.7208
10/03/1976,763.2884
17/03/1976,767.959
24/03/1976,759.8254
31/03/1976,775.8387
07/04/1976,774.7969
14/04/1976,779.05
21/04/1976,772.7426
28/04/1976,763.9317
05/05/1976,773.6414
12/05/1976,768.3078
19/05/1976,765.4677
26/05/1976,765.2235
02/06/1976,785.6915
09/06/1976,772.8218
16/06/1976,792.96
23/06/1976,778.2602
30/06/1976,799.0553
07/07/1976,800.4915
14/07/1976,788.8458
21/07/1976,784.2212
28/07/1976,775.6453
04/08/1976,787.4198
11/08/1976,779.8966
18/08/1976,779.1698
25/08/1976,773.6296
01/09/1976,786.6615
08/09/1976,792.5224
15/09/1976,800.2506
22/09/1976,783.5248
29/09/1976,788.6837
06/10/1976,801.8938
13/10/1976,806.4437
20/10/1976,796.9101
27/10/1976,791.6714
03/11/1976,810.8653
10/11/1976,797.6116
17/11/1976,802.3603
24/11/1976,802.8079
01/12/1976,818.9741
08/12/1976,809.3546
15/12/1976,834.6771
22/12/1976,829.0268
29/12/1976,827.2896
05/01/1977,840.364
12/01/1977,827.7429
19/01/1977,821.9244
26/01/1977,808.8364
02/02/1977,818.116
09/02/1977,808.1173
16/02/1977,815.4877
23/02/1977,818.4261
02/03/1977,824.8473
09/03/1977,817.6071
16/03/1977,836.1461
23/03/1977,821.4569
30/03/1977,829.8814
06/04/1977,845.3862
13/04/1977,844.6575
20/04/1977,842.5966
27/04/1977,833.9397
04/05/1977,843.0648
11/05/1977,833.2394
18/05/1977,841.1756
25/05/1977,834.1654
01/06/1977,862.6131
08/06/1977,847.5767
15/06/1977,872.9558
22/06/1977,849.2834
29/06/1977,852.469
06/07/1977,878.5322
13/07/1977,862.541
20/07/1977,863.8822
27/07/1977,856.0727
03/08/1977,868.0766
10/08/1977,857.6688
17/08/1977,861.3872
